file_name	common_name	order
Galeopterus_variegatus	Sunda-Flying-Lemur	DERMOPTERA
Hyaena_hyaena	Striped-Hyena	CARNIVORA
Lepus_americanus	Snowshoe-Hare	LAGOMORPHA
Panthera_pardus	Leopard	CARNIVORA
Pantholops_hodgsonii	Chiru	CETARTIODACTYLA
Dolichotis_patagonum	Patagonian-Mara	RODENTIA
Oryctolagus_cuniculus	Rabbit	LAGOMORPHA
Callithrix_jacchus	White-tufted-ear-Marmoset	PRIMATES
Mellivora_capensis	Honey-Badger	CARNIVORA
Microcebus_murinus	Gray-Mouse-Lemur	PRIMATES
Papio_anubis	Olive-Baboon	PRIMATES
Procavia_capensis	South-African-Rock-Hyrax	HYRACOIDEA
Equus_caballus	Horse	PERISSODACTYLA
Sus_scrofa	Pig	CETARTIODACTYLA
Moschus_moschiferus	Siberian-Musk-Deer	CETARTIODACTYLA
Puma_concolor	Puma	CARNIVORA
Pongo_abelii	Sumatran-Orangutan	PRIMATES
Heterohyrax_brucei	African-Yellow-spotted-Rock-Hyrax	HYRACOIDEA
Sigmodon_hispidus	Hispid-Cotton-Rat	RODENTIA
Ctenomys_sociabilis	Social-Tuco-tuco	RODENTIA
Spermophilus_dauricus	Daurian-Ground-Squirrel	RODENTIA
Piliocolobus_tephrosceles	Ugandan-Red-Colobus	PRIMATES
Tonatia_saurophila	Stripe-headed-Round-eared-Bat	CHIROPTERA
Ammotragus_lervia	Aoudad	CETARTIODACTYLA
Crocidura_indochinensis	Indochinese-Shrew	EULIPOTYPHLA
Hipposideros_galeritus	Cantors-Leaf-nosed-Bat	CHIROPTERA
Dicerorhinus_sumatrensis	Sumatran-Rhinoceros	PERISSODACTYLA
Manis_pentadactyla	Chinese-Pangolin	PHOLIDOTA
Miniopterus_schreibersii	Common-Bent-wing-Bat	CHIROPTERA
Cebus_albifrons	White-fronted-Capuchin	PRIMATES
Bos_mutus	Wild-Yak	CETARTIODACTYLA
Nycticebus_coucang	Sunda-Slow-Loris	PRIMATES
Myrmecophaga_tridactyla	Giant-Anteater	PILOSA
Macaca_nemestrina	Pig-tailed-Macaque	PRIMATES
Mus_caroli	Ryukyu-Mouse	RODENTIA
Ochotona_princeps	American-Pika	LAGOMORPHA
Tursiops_truncatus	Bottlenose-Dolphin	CETARTIODACTYLA
Zalophus_californianus	California-Sea-Lion	CARNIVORA
Nannospalax_galili	Upper-Galilee-Mountains-Blind-Mole-Rat	RODENTIA
Ailuropoda_melanoleuca	Giant-Panda	CARNIVORA
Equus_przewalskii	Przewalskis-Horse	PERISSODACTYLA
Panthera_tigris	Amur-Tiger	CARNIVORA
Saimiri_boliviensis	Bolivian-Squirrel-Monkey	PRIMATES
Echinops_telfairi	Small-Madagascar-Hedgehog	AFROSORICIDA
Onychomys_torridus	Scorpion-Mouse	RODENTIA
Ellobius_lutescens	Transcaucasian-Mole-Vole	RODENTIA
Peromyscus_maniculatus	Prairie-Deer-Mouse	RODENTIA
Condylura_cristata	Star-nosed-Mole	EULIPOTYPHLA
Camelus_ferus	Wild-Bactrian-Camel	CETARTIODACTYLA
Mustela_putorius	Domestic-Ferret	CARNIVORA
Pteronura_brasiliensis	Giant-Otter	CARNIVORA
Cheirogaleus_medius	Fat-tailed-Dwarf-Lemur	PRIMATES
Desmodus_rotundus	Common-Vampire-Bat	CHIROPTERA
Capromys_pilorides	Desmarests-Hutia	RODENTIA
Ellobius_talpinus	Northern-Mole-Vole	RODENTIA
Balaenoptera_acutorostrata	Minke-Whale	CETARTIODACTYLA
Trichechus_manatus	Florida-Manatee	SIRENIA
Panthera_onca	Jaguar	CARNIVORA
Craseonycteris_thonglongyai	Bumblebee-Bat	CHIROPTERA
Cercocebus_atys	Sooty-Mangabey	PRIMATES
Cryptoprocta_ferox	Fossa	CARNIVORA
Nomascus_leucogenys	Northern-White-cheeked-Gibbon	PRIMATES
Indri_indri	Indri	PRIMATES
